Subject,Label,RMSE,Average PCC
S08,LG,3.083737226263117,0.9806116568008794
S08,US,4.376268028622646,0.9785731533962557
S08,DS,4.013290053307573,0.9039167461648835
S08,UR,3.4177523440294255,0.9894076973360549
S08,DR,2.528039232218349,0.9815326145025597
S09,LG,2.458979743218368,0.9811481029051492
S09,US,3.947571648143013,0.9895120596930223
S09,DS,3.2332115729296635,0.9210616938277167
S09,UR,2.9238851950107914,0.9873234845065993
S09,DR,2.4024897017808686,0.9812147825205968
S04,LG,2.725804194731173,0.9834834216643646
S04,US,3.863826112629229,0.9913488553271117
S04,DS,2.810014983663796,0.9546394898186917
S04,UR,4.090232860898456,0.9842699325500428
S04,DR,2.592279757738508,0.9796581124343239
S06,LG,3.3370871597237626,0.9787381425942755
S06,US,4.806145545438792,0.9863159956163069
S06,DS,4.165365069930761,0.9084296493235029
S06,UR,3.4848698835125393,0.986795677371018
S06,DR,3.4517818929710806,0.9752714127537291
S02,DS,2.9688302748642057,0.9577057040338277
S02,LG,3.031169676147988,0.9841075703610119
S02,US,3.0903569440729104,0.9885420525841848
S02,DR,3.1801274035221465,0.982872766305102
S02,UR,3.2056736984869496,0.9868411399855842
S07,LG,2.519905004495886,0.9833050847248004
S07,US,4.426934987187764,0.989539085956045
S07,DS,3.447350660867682,0.9233911743422174
S07,UR,3.0376652624036007,0.9865287088846889
S07,DR,2.632189923647105,0.9799930045590807
S03,LG,3.6652826209136786,0.9655099158929761
S03,US,5.899610573943725,0.9741192404365449
S03,DS,3.9995446614154644,0.9335679826785781
S03,UR,4.1364432339886115,0.9715928121230482
S03,DR,3.1765860506889516,0.9739363489583815
S05,LG,3.132547583260125,0.9737581737501352
S05,US,3.4131154707420013,0.9883293276246065
S05,DS,3.1225834247888407,0.9600881111924779
S05,UR,3.012126091875037,0.9790239409291822
S05,DR,2.7041813117876874,0.977392261072071
S01,LG,3.6454801202281013,0.9788523818503038
S01,DS,5.844029061768066,0.876162833077923
S01,UR,2.9686730096776968,0.9858020688437525
S01,US,5.295679951249071,0.9812623937329096
S01,DR,3.5746354718611806,0.9607844237464392
S10,LG,2.653448867745966,0.9789796052119293
S10,US,3.7671524161955405,0.9868963784479828
S10,DS,2.635287457629086,0.9579563381117827
S10,UR,3.380985978812756,0.9876057460614476
S10,DR,2.9867608945934125,0.9686400670146227
